sequencing_technology,center,trio,sample_id,variant_caller,date,url,ref_genome
IonTorrent,OsloUniversityHospital,AshkenazimTrio,HG004,TVC,11242015,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/OsloUniversityHospital_Exome_GATK_jointVC_11242015/HG002-HG003-HG004.jointVC.filter.vcf,
PACBIO,PacBio,AshkenazimTrio,HG002,deepvariant,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh37/deepvariant_HG002_15kb_20kb_52X_SequelII.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG002,deepvariant,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh37/deepvariant_HG002_15kb_36X_SequelII.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG002,GATK,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh37/gatk4hc_HG002_15kb_20kb_52X_SequelII.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG002,GATK,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh37/gatk4hc_HG002_15kb_36X_SequelII.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG002,deepvariant,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh38/deepvariant_HG002_GRCh38_15kb_20kb_53X_SequelII.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG002,deepvariant,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh38/deepvariant_HG002_GRCh38_15kb_37X_SequelII.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG002,GATK,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh38/gatk4hc_HG002_15kb_20kb_53X_SequelII.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG002,GATK,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/GRCh38/gatk4hc_HG002_15kb_37X_SequelII.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG003,pbsv,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/pbsv/pbsv_HG003_SequelII.GRCh38.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG003,pbsv,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/pbsv/pbsv_HG003_SequelII.hs37d5.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG004,pbsv,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/pbsv/pbsv_HG004_SequelII.GRCh38.pbsv.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG004,pbsv,10312019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_10312019/pbsv/pbsv_HG004_SequelII.hs37d5.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG002,PALMER,11242017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_PALMER_11242017/HG002.L1Hs.PALMER.1124.vcf.gz,
PACBIO,PacBio,AshkenazimTrio,HG003,PALMER,11242017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_PALMER_11242017/HG003.L1Hs.PALMER.1124.vcf.gz,
PACBIO,PacBio,AshkenazimTrio,HG004,PALMER,11242017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_PALMER_11242017/HG004.L1Hs.PALMER.1124.vcf.gz,
PACBIO,PacBio,AshkenazimTrio,HG002,pbsv,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05052017/hg19.HG002.pbsv.vcf.gz,GRCh37
